message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,,,link,final_link,image_text,link_text,description,Results
"Right now, during the pandemic, it’s especially important to help children facing food insecurity. Today we’re shooting 2 commercials I wrote and produced for IM Kids 3rd Meal. Please get involved if you’re able! Just $1 provides 1 meal!",https://www.facebook.com/485323968187566/posts/3356602941059640,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10332.0,10376.0,2020-10-23 13:23:45 EDT,2020-10-23,13:23:45,Photo,113,81,7,8,10,0,0,0,0,7,,-,0,0,0,,,,https://www.facebook.com/jordanmcarson/photos/a.688478727872088/3356602847726316/?type=3,,,Photos from Jordan Carson's post,,
"Happy Monday! I’m solo today on eightWest! Join me NOW for a fun new recipe, doctor chat and an easy way to give back this week. 🎥",https://www.facebook.com/485323968187566/posts/3364392196947381,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10330.0,10377.0,2020-10-26 11:08:37 EDT,2020-10-26,11:08:37,Photo,128,99,11,1,16,1,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/jordanmcarson/photos/a.688478727872088/3364392133614054/?type=3,,,,,
"😃 Congratulations to Lori Beason, our Biggby of West MI $500 💰 teacher of the month winner! To educators everywhere, thank you! Remember to nominate your favorite teacher this fall! ✅",https://www.facebook.com/100044485486503/posts/555833582576153,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10571.0,10670.0,2022-06-16 14:56:52 EDT,2022-06-16,14:56:52,Link,6,6,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.woodtv.com/abc4/live-local-give-local/biggby-coffee/west-michigan-homeschool-fine-arts-teacher-wins-big-from-biggby-coffee/,,,West Michigan Homeschool Fine Arts teacher wins big from BIGGBY COFFEE,"GRAND RAPIDS, Mich. (WOOD TV8)-Congratulations to Lori Beason, a music teacher for West Michigan Homeschool Fine Arts. She won $500 from BIGGB COFFEE of West MI! Jordan and her crew met Mrs. Beason…",
"Happy Monday, friends! 🌸 #mondaymotivation",https://www.facebook.com/100044485486503/posts/549347729891405,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10574.0,10669.0,2022-06-06 10:37:18 EDT,2022-06-06,10:37:18,Photo,184,113,12,18,39,0,0,0,0,2,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=549347393224772&set=a.199599901532858&type=3,,"If we all do one random act of kindness daily, we just might set the world in the right direction. POSTHE",,,
"Two big coffees today! Thanks, Biggby of West MI! 😍",https://www.facebook.com/485323968187566/posts/3315992908453977,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10337.0,10376.0,2020-10-08 15:42:22 EDT,2020-10-08,15:42:22,Photo,162,138,10,1,13,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/jordanmcarson/photos/a.688478727872088/3315992841787317/?type=3,,,,,
A happy and safe Halloween! 🎃 👸🏼,https://www.facebook.com/485323968187566/posts/3379104582142809,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10329.0,10375.0,2020-10-31 20:43:26 EDT,2020-10-31,20:43:26,Photo,319,225,27,2,60,0,0,0,0,5,,-,0,0,0,,,,https://www.facebook.com/jordanmcarson/photos/a.688478727872088/3379104428809491/?type=3,,,Photos from Jordan Carson's post,,
Hint… 🎤 🎶,https://www.facebook.com/100044485486503/posts/552758976216947,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10573.0,10669.0,2022-06-11 17:11:30 EDT,2022-06-11,17:11:30,Photo,172,126,21,1,19,4,1,0,0,0,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=552757462883765&set=a.199599901532858&type=3,,,Photos from Jordan Carson's post,,
"☀️ The HBA Grand Rapids Parade of Homes kicks off tomorrow, and we’re bringing you inside one of the custom builds! 🏡 Join us tomorrow on 📺 eightWest to see this beautiful home on the tour, from Whitmore Custom Homes! 😍",https://www.facebook.com/100044485486503/posts/555764995916345,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10571.0,10670.0,2022-06-16 12:37:51 EDT,2022-06-16,12:37:51,Photo,39,34,1,2,1,0,1,0,0,0,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=555763072583204&set=a.199599901532858&type=3,,,Photos from Jordan Carson's post,,
Xander Bunny is helping to comfort children in the foster care system. Here’s the full story on Xander and the Lavender Life Company!,https://www.facebook.com/485323968187566/posts/3354050451314889,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10332.0,10374.0,2020-10-22 15:41:31 EDT,2020-10-22,15:41:31,Link,54,44,0,2,8,0,0,0,0,0,,-,0,0,0,,,,https://www.woodtv.com/wotv4women/live-local-give-local/xander-bunny-hopping-into-the-lives-of-children-for-a-cause/,,,Xander Bunny; hopping into the lives of children for a cause,"GRAND RAPIDS, Mich. (WOTV)-There are currently more than 118,000 children in the foster care system, waiting for their forever home. Unfortunately, 18,000 children will age out of the system before…",
Congratulations to Unique Models & Talent on 40 years! The community is invited to their celebratory gala which will benefit Helen DeVos Children's Hospital! Details below.,https://www.facebook.com/100044485486503/posts/560285272130984,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10572.0,10668.0,2022-06-23 11:20:08 EDT,2022-06-23,11:20:08,Link,5,2,1,0,2,0,0,0,0,0,,-,0,0,0,,,,https://www.woodtv.com/abc4/live-local-give-local/unique-models-talent-to-celebrate-40-years-with-upscale-event-benefiting-helen-devos-childrens-hospital/,,,Unique Models & Talent to celebrate 40-years with upscale event benefiting Helen DeVos Children’s Hospital,"GRAND RAPIDS, Mich. (WOOD TV8)-Unique Models & Talent, the largest and most established model and talent agency in West Michigan, is celebrating 40 years in business with the social event of th…",
"I’m so proud of Brooklyn! Today we were able to visit her school for field day. Thank you to the fantastic teachers and staff for making this year so much fun! And just like that, our baby is off to 1st grade! ❤️",https://www.facebook.com/100044485486503/posts/550177059808472,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10572.0,10669.0,2022-06-07 19:48:44 EDT,2022-06-07,19:48:44,Photo,302,217,13,1,68,0,0,0,0,3,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=550174583142053&set=a.199599901532858&type=3,,,Photos from Jordan Carson's post,,
"Today, i understand sat down to talk about how their support of the Michigan Sheriffs' Association Victim Services is helping to provide hope and healing for families. 💗 Together they provide resources to 52 units and 574 Volunteer Advocates to provide compassion and comfort to those who need it most. Below you can watch their impactful interview, and see how you can get involved. #betheoneforsomeone #iunderstandloveheals",https://www.facebook.com/485323968187566/posts/3376137132439554,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10328.0,10375.0,2020-10-30 17:57:40 EDT,2020-10-30,17:57:40,Link,28,25,2,0,1,0,0,0,0,0,,-,0,0,0,,,,https://www.woodtv.com/wotv4women/live-local-give-local/i-understand/i-understand-provides-hope-and-healing-through-a-partnership-with-the-michigan-sheriffs-association/,,,i understand provides hope and healing through support for the Michigan Sheriffs’ Association,"GRAND RAPIDS, Mich. (WOTV)-The difficulty that officers face after being called to the scene of a mental health crisis can be overwhelming. When the call is made to 9-1-1 after suicide, the Michiga…",
Surprising Ms. Delany from Vermontville with a $500 check from Biggby of West MI! Congratulations! 📚,https://www.facebook.com/485323968187566/posts/3364668890253045,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10330.0,10377.0,2020-10-26 13:23:07 EDT,2020-10-26,13:23:07,Photo,79,71,0,1,7,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/jordanmcarson/photos/a.688478727872088/3364671423586125/?type=3,,,,,
"Many people have asked where they can get the i understand shirt! Here’s a link to where you can purchase! There are many additional ways to get involved, as well! Below are some of the ways you can show your support. 💕",https://www.facebook.com/485323968187566/posts/3353150234738244,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10332.0,10374.0,2020-10-22 09:10:44 EDT,2020-10-22,09:10:44,Link,24,20,0,0,3,0,0,0,0,1,,-,0,0,0,,,,https://www.woodtv.com/wotv4women/live-local-give-local/i-understand/i-understand-show-support-start-the-conversation-and-reduce-stigma-surrounding-mental-health/,,,"i understand: show support, start the conversation, reduce stigma surrounding mental health","GRAND RAPIDS, Mich. (WOTV)-i understand is a non-profit organization that offers compassionate comfort to those affected by suicide and mental health. There are many ways to get involved and start …",
"One of the amazing parts of my job is working with incredible people, with real stories, and meaningful messages. Here’s the new i understand commercial you’ll see on-air starting this week! 💕",https://www.facebook.com/485323968187566/posts/3330527193667215,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10339.0,10378.0,2020-10-13 15:45:38 EDT,2020-10-13,15:45:38,Link,40,24,3,6,6,0,0,0,0,1,,-,0,0,0,,,,https://www.woodtv.com/wotv4women/live-local-give-local/i-understand/i-understand-and-doug-meijer-offering-compassion-comfort-and-healing-through-conversation/,,,"i understand and Doug Meijer offering compassion, comfort and healing through conversation","GRAND RAPIDS, Mich. (WOTV)-i understand is a non-profit organization that offers compassionate comfort to those affected by suicide and mental illness. Vonnie Woodrick (Founder of i understand) and…",
💕 So much fun today on the “pink couch” with the amazing Dave and Lori from Lori's Voice! We’re filming a new commercial for 🎥 eightWest!,https://www.facebook.com/100044485486503/posts/554021279424050,Jordan Carson,jordanmcarson,100044485486503,NEWS_PERSONALITY,US,"Morning show co-host on NBC affiliate, WOOD TV8. 
Live Local Give Local Director at WOTV4.
Got a sto",2013-04-10 20:22:35,10570.0,10666.0,2022-06-13 19:24:26 EDT,2022-06-13,19:24:26,Photo,144,102,8,5,27,0,0,0,0,2,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=554020359424142&set=a.199599901532858&type=3,,,Photos from Jordan Carson's post,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remember when Trump was elected in 2016, we said it was going to be an absolute nightmare. Well, here you go…",https://www.facebook.com/2065637923679376/posts/3195392430703914,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-24 16:28:29 EDT,2022-06-24,16:28:29,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3195392407370583/?type=3,,"NOLIE BRIAN No Lie with Brian Tyler Coh... @NoLieWithBTC … BREAKING: Clarence Thomas just filed a concurring opinion to Dobbs calling for the court to consider overturning the right to contraception, same-sex marriage, and privacy in the bedroom.",,,1
This is what a mental health problem looks like. #gunreform #nra #guncontrol #mentalhealth,https://www.facebook.com/2065637923679376/posts/3179378488971975,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,705.0,757.0,2022-06-03 16:55:53 EDT,2022-06-03,16:55:53,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3179378472305310/?type=3,,,,,
"New Episode! We talk with Linda Harris of We Walk With Harriet. Tonight we are going to talk about freedom. The kind of freedom you get when you are a slave back in the 1800s, and wanting to be free. We are going to talk about one woman in particular. Moses. Harriet Tubman. But we are going to do it in a different way. We are going to talk with Linda Harris, who organized a walk that she and a group of women walked, following the path that Harriet Tubman took from Maryland’s Eastern Shore through Delaware to her freedom in Philadelphia, Pennsylvania. It is a route that Harriet took many times, helping to free slaves.",https://www.facebook.com/2065637923679376/posts/2717832281793267,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,,,2020-10-03 13:31:17 EDT,2020-10-03,13:31:17,Link,12,2,0,10,0,0,0,0,0,0,,-,0,0,0,,,,https://www.theoptionalfacts.com/the-optional-facts-podcast-2/2020/10/2/we-walk-with-harriet,,,We walk with Harriet — The Optional Facts,"Tonight we are going to talk about freedom. The kind of freedom you get when you are a slave back in the 1800s, and wanting to be free. We are going to talk about one woman in particular. Moses. Harriet Tubman",
"He is known for his bravery, discipline, and bringing the army into shape during its darkest days of the Revolutionary war #army #military #lgbt #lgbtq #pride #pridemonth #lovenothate",https://www.facebook.com/2065637923679376/posts/3198365990406558,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-28 13:42:49 EDT,2022-06-28,13:42:49,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3198365970406560/?type=3,,"I am endlessly amused that white supremacist, and paramilitary groups who use the army training manual, for training, have no idea it was written by a gay man; Baron Friedrich von Steuben",,,
"Today, I talk with Lamont Jack Pearley an Applied Folklorist, African American Traditional Music Practitioner/Historian, and the Executive Director at Jack Dappa Blues Heritage Preservation Foundation. Lamont can tell stories. It is part of his craft..part of who he is. I interviewed Lamont about his life growing up in Brooklyn NY. We talk about music, life, early rap, and we even get into how the evolution of rap follows the crack epidemic in the 80s.",https://www.facebook.com/2065637923679376/posts/2736408396602322,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,,,2020-10-24 15:16:52 EDT,2020-10-24,15:16:52,Link,3,2,0,0,1,0,0,0,0,0,,-,0,0,0,,,,https://www.theoptionalfacts.com/the-optional-facts-podcast-2/2020/10/24/lamont-jack-pearly,,,Lamont Jack Pearly — The Optional Facts,"Today, I talk with Lamont Jack Pearly an Applied Folklorist, African American Traditional Music Practitioner/Historian and the Executive Director at Jack Dappa Blues Heritage Preservation Foundation. Lamont can tell stories. It is part of his craft..part of who he is.",
"This picture is from Middle Tennessee State University’s student paper, in 1968. The caption reads “Happiness is having your own Confederate flag to wave at the pep rally.” Given the age of these students, they could still be very much alive, and be the people who are fighting hard to retain “their heritage” #racism #racisminamerica #antiracism #blacklivesmatter #theoptionalfacts",https://www.facebook.com/2065637923679376/posts/3178336512409506,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,705.0,757.0,2022-06-02 08:08:54 EDT,2022-06-02,08:08:54,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3178336492409508/?type=3,,,,,
Military people tend to think these don’t belong in regular people’s hands. Civilians are all for them. I know who I trust more on this issue. #guncontrol #gunsafety #nra #cult,https://www.facebook.com/2065637923679376/posts/3182827715293719,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-08 08:39:36 EDT,2022-06-08,08:39:36,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3182827691960388/?type=3,,"Tammy Duckworth @.... 19h I carried an M16 and M4 in the military, so let me be clear: High-powered rifles designed for our troops to engage an enemy with accurate, lethal fire at a velocity of 3,000 feet per s”cond have no place on our streets. I fully support an assault weapons ban. 3,369 10.1K 60.3K",,,
"It is working perfect for the school to prison pipeline, and the prison for profit system. #schooltoprisonpipeline #prolifemovement #prolifemyass #racisminamerica #racism",https://www.facebook.com/2065637923679376/posts/3177689169140907,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,705.0,757.0,2022-06-01 10:26:59 EDT,2022-06-01,10:26:59,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3177689149140909/?type=3,,"Qasim Rashid, Esq. @QasimRashid Robb Elementary has 576 students-and 84% are economically disadvantaged. Now 19 were murdered, 17 have bullet wounds, & 538 are emotionally scarred the rest of their lives. The school has 1 Counselor. ONE. Yet, Uvalde Police is 40% of the town budget. This Is A Failed System. 11:41 AM 5/29/22 Twitter for iPhone",,,
More of that pesky politics from my page.,https://www.facebook.com/2065637923679376/posts/3194439680799189,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-23 11:17:25 EDT,2022-06-23,11:17:25,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3194439664132524/?type=3,,Dr. Jason Johnson @DrJasonJohnson Protesters show up outside SCOTUS homes & suddenly Congress gives them high priced security. A 70 year old black poll worker in Georgia gets death threats from MAGA Trumpers and she's on the run for 2 months and the FBI basically says figure it out. This is why people are angry 5:31 PM 6/21/22 Twitter Web App,,,
Police actively letting children be slaughtered. Governors wanting it to be easier to buy guns. Senators making it about doors. It is about the guns. It is about the age you are allowed to buy them. It is about the lack of red flag laws. From @washingtonpost #gunreform #nra #amerikkka #america,https://www.facebook.com/2065637923679376/posts/3180976742145483,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,705.0,757.0,2022-06-05 20:25:33 EDT,2022-06-05,20:25:33,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3180976715478819/?type=3,,"Mass shootings, where four or more people not including the shooter are injured or killed, have averaged more than one per day so far this year. Not a single week in 2022 has passed without at least four mass shootings. January 2022 February March April May",,,
Holy crap Covid was not fun. I feel for the people who have/had it so much worse than I did. #covid_19 #vaccination,https://www.facebook.com/2065637923679376/posts/3186891508220673,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-13 18:26:22 EDT,2022-06-13,18:26:22,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3186891491554008/?type=3,,"Lots of people asking where I have been. Covid knocked me on my ass. Feeling better now, and will be back to posting!",,,
"New Episode! We talk with Linda Harris of We Walk With Harriet. Tonight we are going to talk about freedom. The kind of freedom you get when you are a slave back in the 1800s, and wanting to be free. We are going to talk about one woman in particular. Moses. Harriet Tubman. But we are going to do it in a different way. We are going to talk with Linda Harris, who organized a walk that she and a group of women walked, following the path that Harriet Tubman took from Maryland’s Eastern Shore through Delaware to her freedom in Philadelphia, Pennsylvania. It is a route that Harriet took many times, helping to free slaves.",https://www.facebook.com/2065637923679376/posts/2717885515121277,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,,,2020-10-03 15:01:28 EDT,2020-10-03,15:01:28,Native Video,3,2,0,1,0,0,0,0,0,0,owned,Yes,11,0,0,00:00:18,,,https://www.facebook.com/theoptionalfacts/videos/2717885488454613/,,,,,
Love how people feel entitled enough to tell others what they should and should not post.,https://www.facebook.com/2065637923679376/posts/3193590954217395,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-22 08:37:43 EDT,2022-06-22,08:37:43,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3193590924217398/?type=3,,"Recently told by a I7yr old that I need to stick to my lane history- and that my page is too political. So. Churches should be taxed. We need incredibly strict gun laws, abortion should be legal nationwide, reparations need to happen, and Trump needs to be in jail.",,,
"Do you get it yet? This country was built on racism, and still exists on racism. #racism #racisminamerica #amerikkka #racist",https://www.facebook.com/2065637923679376/posts/3196051143971376,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-25 13:37:50 EDT,2022-06-25,13:37:50,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3196051103971380/?type=3,,"Senator John Cornyn 3h Now do Plessy vs Ferguson/Brown Brown vs Board of Education. Barack Obama @B... 1d Today, the Supreme Court not only reversed nearly 50 years of precedent, it relegated the most intensely personal decision someone can make t... Show this thread 2,004 1 2,100 281",Photos from The Optional Facts's post,,
"This card shows what may have been the earliest members of the Ku-Klux Klan in Pulaski, Tennessee: (back row, left to right) John Lester, Calvin Jones, Richard Reed; (front row, left to right) Frank McCord, unidentified, John Booker Kennedy, and James Crowe. On the back of the card is written “Midnight Rangers, Pulaski, Sept. 3rd 1866,”. Courtesy of the Giles County Historical Society.",https://www.facebook.com/2065637923679376/posts/3179090099000814,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,705.0,757.0,2022-06-03 08:44:15 EDT,2022-06-03,08:44:15,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3179090079000816/?type=3,,,,,
Current mood. #dog #dogsofinstagram #thursday #mood,https://www.facebook.com/2065637923679376/posts/3188833924693098,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-16 07:43:18 EDT,2022-06-16,07:43:18,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3188833894693101/?type=3,,,,,
The actual number of women being threatened must be so high. #women #womensrights #roevwade #womenempowerment #healthcare #healthcareisahumanright #reproductiverights #sunday #theoptionalfacts,https://www.facebook.com/2065637923679376/posts/3196661650576992,The Optional Facts,theoptionalfacts,2065637923679376,BROADCASTING_MEDIA_PRODUCTION,US,"I aim to bring you great music and great discussion, each and every week. I want to bring the conversation to the topics that really matter. I'll combine that with some of the best ever made. The type of music that had your family dancing into the night.",2018-05-11 01:47:01,706.0,758.0,2022-06-26 09:01:37 EDT,2022-06-26,09:01:37,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/theoptionalfacts/photos/a.2163419250567909/3196661623910328/?type=3,,"TheOptionalFacts @Dhtomlinson Just use a #condom have known a handful of women that have had abortions because they were threatened with physical violence over the use of a condom. If I know this many, the actual number must be staggeringly high. #RoeVsWade #RoeVWade #women #WomensRightsAreHumanRights 8:55 AM. 6/26/22 Twitter for iPhone",,,
